{2,3,4,5, computationalTime (sec), iterations, NumberOfDuplicates(for n=5)}
14,104,266,0,1.8717927932739258,10000,723
14,104,280,0,1.8428370952606201,10000,771
14,104,286,0,1.8748431205749512,10000,729
14,104,254,0,1.8675708770751953,10000,685
14,104,289,0,1.8862359523773193,10000,703
14,104,282,0,1.845716953277588,10000,709
14,104,267,0,1.9175450801849365,10000,713
14,104,273,0,1.8455259799957275,10000,765
14,104,296,0,1.8470368385314941,10000,764
14,104,289,0,1.9087018966674805,10000,712
14,104,262,0,1.859354019165039,10000,740
14,104,267,0,1.8904449939727783,10000,730
14,104,300,0,1.8651809692382812,10000,727
14,104,268,0,1.887016773223877,10000,698
14,104,274,0,1.8653221130371094,10000,699
14,104,287,0,1.901244878768921,10000,736
14,104,254,0,1.8931608200073242,10000,743
14,104,299,0,1.9032928943634033,10000,713
14,104,266,0,1.8534519672393799,10000,772
14,104,279,0,1.8670828342437744,10000,698
14,104,277,0,1.8446779251098633,10000,744
14,104,269,0,1.8640336990356445,10000,732
14,104,262,0,1.8610560894012451,10000,729
14,104,257,0,1.8594298362731934,10000,723
14,104,267,0,1.8987438678741455,10000,733
14,104,259,0,1.9308319091796875,10000,679
14,104,1882,0,61.567291021347046,1000000,934464
14,104,1882,0,60.947261810302734,1000000,934464
14,104,1882,0,62.11123514175415,1000000,934464
14,104,1882,0,61.832664012908936,1000000,934464
14,104,1882,0,60.791611194610596,1000000,934464
14,104,1882,0,60.8486602306366,1000000,934464
14,104,1882,0,60.912391901016235,1000000,934464
14,104,1882,0,61.12261509895325,1000000,934464
14,104,1882,0,60.61160707473755,1000000,934464
244,1828,23373,0,13.05215311050415,100000,48712
14,104,1491,0,11.159210920333862,100000,48661
14,104,1468,3,28.227277994155884,100000,3
14,104,282,0,3.450773000717163,10000,0
14,104,275,0,3.354990243911743,10000,0
14,104,258,1,3.368826150894165,10000,0
