{2,3,4,5, computationalTime (sec), iterations, NumberOfDuplicates}
14,104,1882,0,113.04308676719666 # 2*10**7 iterations
14,104,288,0,1.8801360130310059,10000
14,104,288,0,1.8925590515136719,10000
14,104,255,0,1.8551318645477295,10000
14,104,272,0,1.8428499698638916,10000
14,104,267,0,1.8508012294769287,10000
14,104,250,0,1.8671281337738037,10000
14,104,263,0,1.8410580158233643,10000
14,104,261,0,1.844214916229248,10000
14,104,256,0,1.8702268600463867,10000
14,104,267,0,1.8669931888580322,10000
14,104,259,0,1.8717000484466553,10000
14,104,287,0,1.8892767429351807,10000
14,104,257,0,1.9008171558380127,10000
14,104,283,0,1.8818790912628174,10000
14,104,279,0,1.879206895828247,10000
14,104,295,0,1.8593311309814453,10000
14,104,290,0,1.8703618049621582,10000
14,104,1882,0,61.443289279937744,1000000
14,104,1882,0,60.76347017288208,1000000
14,104,1882,0,60.48761200904846,1000000
14,104,1882,0,63.817177057266235,1000000
14,104,1882,0,63.860568046569824,1000000
14,104,1882,0,61.53773093223572,1000000
14,104,232,0,1.9326128959655762,10000
14,104,247,0,1.8682880401611328,10000
14,104,265,0,1.888197898864746,10000
14,104,254,0,1.892868995666504,10000
14,104,274,0,1.8751518726348877,10000
14,104,270,0,1.8417060375213623,10000
14,104,278,0,1.8512120246887207,10000
14,104,293,0,1.862138032913208,10000
14,104,266,0,1.8698620796203613,10000
14,104,276,0,1.8432948589324951,10000
14,104,259,0,1.8681879043579102,10000
14,104,284,0,1.8997249603271484,10000
14,104,261,0,1.8755970001220703,10000
14,104,291,0,1.8442089557647705,10000
14,104,275,0,1.8407280445098877,10000
14,104,273,0,1.8525409698486328,10000
14,104,257,0,1.8547117710113525,10000
14,104,256,0,2.022304058074951,10000
14,104,250,0,1.8649420738220215,10000
14,104,272,0,1.8881258964538574,10000
14,104,264,0,1.8830537796020508,10000
14,104,283,0,1.8947150707244873,10000
14,104,265,0,1.8735051155090332,10000
